,id_transcricao,data_reuniao,setor,porte_empresa,canal,produto_principal,transcricao,risco_de_churn,oportunidade_upsell,mencao_concorrente
240,T0241,2026-07-17 00:00:00,Logística,Média,Presencial,Manufatura,durante reuniao empresa setor logistica porte media analista ti afirmou utiliza principalmente modulo manufatura registrou atraso recorrente fechamento financeiro alem disso avaliando contratar modulo analytics conversa reforcou necessidade padronizacao cadastro qualidade dados sugerida prova conceito validar aderencia,1,1,0
241,T0242,2026-04-01 00:00:00,Indústria,Média,Presencial,Fiscal,durante reuniao empresa setor industria porte media analista ti afirmou utiliza principalmente modulo fiscal demonstrou interesse conhecer modulo manufatura alem disso mencionou nivel servico abaixo combinado contrato time interno considera importante acelerar adocao usuarios finais ficou definido followup proxima quinzena,1,1,0
242,T0243,2026-04-29 00:00:00,Indústria,Grande,Presencial,RH,durante reuniao empresa setor industria porte grande lider operacoes declarou utiliza principalmente modulo rh equipe alinhou cronograma nova rodada testes alem disso mencionou risco cancelamento problema persistir conversa reforcou necessidade padronizacao cadastro qualidade dados proxima etapa sera consolidar requisitos priorizar entregas,1,0,0
243,T0244,2026-06-02 00:00:00,Indústria,Média,Presencial,Financeiro,durante reuniao empresa setor industria porte media coordenador operacoes disse utiliza principalmente modulo financeiro alinhamento sobre proximos marcos cronograma alem disso equipe alinhou cronograma nova rodada testes cliente quer reduzir trabalho manual centralizar dados unica plataforma decisao dependera percepcao valor proximas semanas,0,0,0
244,T0245,2026-06-22 00:00:00,Distribuição,Média,Teams,Fiscal,durante reuniao empresa setor distribuicao porte media gerente rh informou utiliza principalmente modulo fiscal listadas pendencias proxima sprint alem disso cliente pediu documentacao tecnica complementar existe expectativa ganho produtividade automacao fluxo aprovacao sugerida prova conceito validar aderencia,0,0,0
245,T0246,2026-07-07 00:00:00,Tecnologia,Média,Presencial,Manufatura,durante reuniao empresa setor tecnologia porte media cliente relatou utiliza principalmente modulo manufatura listadas pendencias proxima sprint alem disso cliente pediu documentacao tecnica complementar time tecnico reforcou importancia manter base dados atualizada ficou definido followup proxima quinzena,0,0,0
246,T0247,2026-07-28 00:00:00,Indústria,Grande,Presencial,Manufatura,durante reuniao empresa setor industria porte grande coordenador operacoes disse utiliza principalmente modulo manufatura relatou time cogita buscar alternativas mercado alem disso demonstrou abertura piloto dashboard gerencial revelou sankhya ofereceu desconto agressivo possivel migracao decisao dependera percepcao valor proximas semanas,1,0,1
247,T0248,2026-04-24 00:00:00,Tecnologia,Grande,Teams,Protheus,durante reuniao empresa setor tecnologia porte grande responsavel projeto destacou utiliza principalmente modulo protheus apresentado status atual plano implantacao alem disso listadas pendencias proxima sprint conversa reforcou necessidade padronizacao cadastro qualidade dados ficou combinado retornar plano acao nova demonstracao,0,0,0
248,T0249,2026-05-24 00:00:00,Logística,Média,Zoom,Financeiro,durante reuniao empresa setor logistica porte media head tecnologia ressaltou utiliza principalmente modulo financeiro time revisou relatorios operacionais ultimo mes alem disso equipe alinhou cronograma nova rodada testes comentou diretoria pediu benchmark totvs outros fornecedores mercado ficou combinado retornar plano acao nova demonstracao,0,0,1
249,T0250,2026-06-22 00:00:00,Construção,Média,Presencial,Fiscal,durante reuniao empresa setor construcao porte media diretor ti ressaltou utiliza principalmente modulo fiscal avaliou contratar consultoria adicional acelerar implantacao alem disso cliente pediu documentacao tecnica complementar mencionou salesforce entrou contato oferecendo modulo crm ficou definido followup proxima quinzena,0,1,1
250,T0251,2026-06-21 00:00:00,Distribuição,Média,Google Meet,Manufatura,durante reuniao empresa setor distribuicao porte media equipe comercial observou utiliza principalmente modulo manufatura equipe alinhou cronograma nova rodada testes alem disso equipe validou escopo projeto proxima fase existe expectativa ganho produtividade automacao fluxo aprovacao decisao dependera percepcao valor proximas semanas,0,0,0
251,T0252,2026-05-21 00:00:00,Logística,Pequena,Presencial,RH,durante reuniao empresa setor logistica porte pequena gerente projetos pontuou utiliza principalmente modulo rh equipe alinhou cronograma nova rodada testes alem disso revisao indicadores serao acompanhados citou oracle netsuite fez contato oferecendo pacote similar ficou definido followup proxima quinzena,0,0,1
252,T0253,2026-06-30 00:00:00,Educação,Pequena,,CRM,durante reuniao empresa setor educacao porte pequena cliente relatou utiliza principalmente modulo crm apresentado status atual plano implantacao alem disso discutidos responsaveis prazos proximos passos relatou concorrente ofereceu condicoes comerciais vantajosas escopo cliente espera melhoria perceptivel antes ampliar escopo,0,0,1
253,T0254,2026-04-02 00:00:00,Serviços,Pequena,Teams,Analytics,durante reuniao empresa setor servicos porte pequena analista financeiro pontuou utiliza principalmente modulo analytics reuniao foco mapeamento processo atual alem disso reclamou falhas integracao sistemas relatou concorrente ofereceu condicoes comerciais vantajosas escopo ficou definido followup proxima quinzena,1,0,1
254,T0255,2026-08-02 00:00:00,Varejo,Pequena,Zoom,Fiscal,durante reuniao empresa setor varejo porte pequena coordenador operacoes disse utiliza principalmente modulo fiscal reuniao foco mapeamento processo atual alem disso listadas pendencias proxima sprint time tecnico reforcou importancia manter base dados atualizada decisao dependera percepcao valor proximas semanas,0,0,0
255,T0256,2026-07-20 00:00:00,Educação,Pequena,Zoom,Fiscal,durante reuniao empresa setor educacao porte pequena cliente relatou utiliza principalmente modulo fiscal comentou diretoria questiona valor entregue alem disso equipe alinhou cronograma nova rodada testes tambem apareceu necessidade melhorar visibilidade indicadores diretoria decisao dependera percepcao valor proximas semanas,1,0,0
256,T0257,2026-06-02 00:00:00,Distribuição,Média,Zoom,Protheus,durante reuniao empresa setor distribuicao porte media diretora financeira explicou utiliza principalmente modulo protheus relatou sistema apresentou instabilidade momento critico operacao alem disso listadas pendencias proxima sprint time tecnico reforcou importancia manter base dados atualizada ficou definido followup proxima quinzena time citou churn risco caso sla suporte nao melhore,1,0,0
257,T0258,2026-06-24 00:00:00,Agronegócio,Pequena,,Protheus,durante reuniao empresa setor agronegocio porte pequena gerente rh informou utiliza principalmente modulo protheus solicitou apresentacao funcionalidades avancadas bi alem disso feita retrospectiva entregas ultimo trimestre lideranca quer evidencias quantitativas antes decidir expansao cliente espera melhoria perceptivel antes ampliar escopo,0,1,0
258,T0259,2026-04-09 00:00:00,Educação,Média,Zoom,Financeiro,durante reuniao empresa setor educacao porte media supervisor fiscal comentou utiliza principalmente modulo financeiro avaliando contratar modulo analytics alem disso alinhamento sobre proximos marcos cronograma conversa reforcou necessidade padronizacao cadastro qualidade dados decisao dependera percepcao valor proximas semanas,0,1,0
259,T0260,2026-08-17 00:00:00,Logística,Média,Teams,Analytics,durante reuniao empresa setor logistica porte media coordenador operacoes disse utiliza principalmente modulo analytics reuniao foco mapeamento processo atual alem disso informou confianca equipe sistema caiu ultimos meses area negocio pediu alertas automaticos acompanhar desvios criticos ficou combinado retornar plano acao nova demonstracao,1,0,0
260,T0261,2026-07-11 00:00:00,Logística,Pequena,Google Meet,CRM,durante reuniao empresa setor logistica porte pequena time atendimento apontou utiliza principalmente modulo crm comentou diretoria questiona valor entregue alem disso grupo revisou perfis acesso regras negocio area negocio pediu alertas automaticos acompanhar desvios criticos sugerida prova conceito validar aderencia,1,0,0
261,T0262,2026-06-03 00:00:00,Saúde,Pequena,Google Meet,BI,durante reuniao empresa setor saude porte pequena analista ti afirmou utiliza principalmente modulo bi avaliando contratar modulo analytics alem disso time revisou relatorios operacionais ultimo mes tambem apareceu necessidade melhorar visibilidade indicadores diretoria time pediu acompanhamento quinzenal medir evolucao ha interesse poc analytics budget ainda depende aprovacao,0,1,0
262,T0263,2026-04-27 00:00:00,Educação,Pequena,Teams,Manufatura,durante reuniao empresa setor educacao porte pequena time atendimento apontou utiliza principalmente modulo manufatura discutidos responsaveis prazos proximos passos alem disso feita retrospectiva entregas ultimo trimestre conversa reforcou necessidade padronizacao cadastro qualidade dados cliente espera melhoria perceptivel antes ampliar escopo diretoria pediu visao consolidada indicadores especialmente receita margem inadimplencia,0,0,0
263,T0264,2026-04-04 00:00:00,Construção,Média,Presencial,Analytics,durante reuniao empresa setor construcao porte media analista financeiro pontuou utiliza principalmente modulo analytics equipe alinhou cronograma nova rodada testes alem disso discutidos responsaveis prazos proximos passos area negocio pediu alertas automaticos acompanhar desvios criticos sugerida prova conceito validar aderencia,0,0,0
264,T0265,2026-07-21 00:00:00,Construção,Média,Google Meet,CRM,durante reuniao empresa setor construcao porte media lider operacoes declarou utiliza principalmente modulo crm registrou atraso recorrente fechamento financeiro alem disso grupo revisou perfis acesso regras negocio revelou sankhya ofereceu desconto agressivo possivel migracao ficou definido followup proxima quinzena,1,0,1
265,T0266,2026-07-11 00:00:00,Logística,Grande,Presencial,Fluig,durante reuniao empresa setor logistica porte grande time atendimento apontou utiliza principalmente modulo fluig sinalizou disposicao investir novo modulo ainda ano alem disso mencionou contrato perto vencimento previsao renovacao citou oracle netsuite fez contato oferecendo pacote similar time pediu acompanhamento quinzenal medir evolucao,1,1,1
266,T0267,2026-07-11 00:00:00,Logística,Média,Presencial,RH,durante reuniao empresa setor logistica porte media lider operacoes declarou utiliza principalmente modulo rh equipe alinhou cronograma nova rodada testes alem disso grupo revisou perfis acesso regras negocio citou oracle netsuite fez contato oferecendo pacote similar partes alinharam retorno ate duas semanas,0,0,1
267,T0268,2026-05-17 00:00:00,Tecnologia,Pequena,Presencial,Financeiro,durante reuniao empresa setor tecnologia porte pequena time atendimento apontou utiliza principalmente modulo financeiro feita retrospectiva entregas ultimo trimestre alem disso manifestou interesse expandir uso sistema outras unidades area negocio pediu alertas automaticos acompanhar desvios criticos ficou definido followup proxima quinzena,0,1,0
268,T0269,2026-07-18 00:00:00,Serviços,Pequena,Presencial,RH,durante reuniao empresa setor servicos porte pequena time atendimento apontou utiliza principalmente modulo rh sinalizou disposicao investir novo modulo ainda ano alem disso relatou sistema apresentou instabilidade momento critico operacao mencionou salesforce entrou contato oferecendo modulo crm proxima etapa sera consolidar requisitos priorizar entregas usuarios disseram processo atual manual lento pouco confiavel,1,1,1
269,T0270,2026-04-12 00:00:00,Agronegócio,Grande,Presencial,Fluig,durante reuniao empresa setor agronegocio porte grande lider operacoes declarou utiliza principalmente modulo fluig validada necessidade treinamento usuarioschave alem disso sinalizou disposicao investir novo modulo ainda ano conversa reforcou necessidade padronizacao cadastro qualidade dados decisao dependera percepcao valor proximas semanas,0,1,0
270,T0271,2026-05-27 00:00:00,Varejo,Média,Presencial,CRM,durante reuniao empresa setor varejo porte media lider operacoes declarou utiliza principalmente modulo crm equipe validou escopo projeto proxima fase alem disso apresentado status atual plano implantacao tambem apareceu necessidade melhorar visibilidade indicadores diretoria cliente espera melhoria perceptivel antes ampliar escopo,0,0,0
271,T0272,2026-05-07 00:00:00,Logística,Média,Google Meet,CRM,durante reuniao empresa setor logistica porte media lider operacoes declarou utiliza principalmente modulo crm disse time sobrecarregado retrabalho alem disso discutidos responsaveis prazos proximos passos mencionou salesforce entrou contato oferecendo modulo crm ficou definido followup proxima quinzena diretoria pediu visao consolidada indicadores especialmente receita margem inadimplencia,1,0,1
272,T0273,2026-04-30 00:00:00,Indústria,Média,Zoom,BI,durante reuniao empresa setor industria porte media head tecnologia ressaltou utiliza principalmente modulo bi pediu proposta automacao processos alem disso comentou diretoria questiona valor entregue tambem apareceu necessidade melhorar visibilidade indicadores diretoria partes alinharam retorno ate duas semanas,1,1,0
273,T0274,2026-07-20 00:00:00,Serviços,Pequena,,Financeiro,durante reuniao empresa setor servicos porte pequena time atendimento apontou utiliza principalmente modulo financeiro demonstrou interesse conhecer modulo manufatura alem disso afirmou ja perdeu produtividade causa falhas recentes revelou sankhya ofereceu desconto agressivo possivel migracao ficou combinado retornar plano acao nova demonstracao,1,1,1
274,T0275,2026-08-16 00:00:00,Educação,Média,Google Meet,Financeiro,durante reuniao empresa setor educacao porte media time atendimento apontou utiliza principalmente modulo financeiro validada necessidade treinamento usuarioschave alem disso cliente pediu documentacao tecnica complementar time tecnico reforcou importancia manter base dados atualizada time pediu acompanhamento quinzenal medir evolucao,0,0,0
275,T0276,2026-07-27 00:00:00,Agronegócio,Pequena,Google Meet,RH,durante reuniao empresa setor agronegocio porte pequena supervisor fiscal comentou utiliza principalmente modulo rh apresentado status atual plano implantacao alem disso validada necessidade treinamento usuarioschave tambem apareceu necessidade melhorar visibilidade indicadores diretoria proxima etapa sera consolidar requisitos priorizar entregas,0,0,0
276,T0277,2026-07-09 00:00:00,Serviços,Grande,Teams,RH,durante reuniao empresa setor servicos porte grande analista ti afirmou utiliza principalmente modulo rh afirmou ja perdeu produtividade causa falhas recentes alem disso pediu proposta automacao processos relatou concorrente ofereceu condicoes comerciais vantajosas escopo sugerida prova conceito validar aderencia,1,1,1
277,T0278,2026-07-25 00:00:00,Agronegócio,Pequena,Google Meet,Protheus,durante reuniao empresa setor agronegocio porte pequena time atendimento apontou utiliza principalmente modulo protheus avaliando contratar modulo analytics alem disso equipe alinhou cronograma nova rodada testes relatou concorrente ofereceu condicoes comerciais vantajosas escopo ficou definido followup proxima quinzena,0,1,1
278,T0279,2026-05-13 00:00:00,Saúde,Grande,Zoom,Financeiro,durante reuniao empresa setor saude porte grande responsavel projeto destacou utiliza principalmente modulo financeiro cliente pediu documentacao tecnica complementar alem disso reuniao foco mapeamento processo atual time tecnico reforcou importancia manter base dados atualizada decisao dependera percepcao valor proximas semanas,0,0,0
279,T0280,2026-08-19 00:00:00,Tecnologia,Pequena,,Analytics,durante reuniao empresa setor tecnologia porte pequena responsavel projeto destacou utiliza principalmente modulo analytics alinhamento sobre proximos marcos cronograma alem disso discutidos responsaveis prazos proximos passos time tecnico reforcou importancia manter base dados atualizada cliente espera melhoria perceptivel antes ampliar escopo,0,0,0
280,T0281,2026-06-03 00:00:00,Construção,Pequena,Presencial,ERP,durante reuniao empresa setor construcao porte pequena gestor comentou utiliza principalmente modulo erp revisao indicadores serao acompanhados alem disso mostrou interesse modulo fiscal relatorios inteligentes time interno considera importante acelerar adocao usuarios finais ficou combinado retornar plano acao nova demonstracao,0,1,0
281,T0282,2026-07-19 00:00:00,Educação,Grande,Teams,Financeiro,durante reuniao empresa setor educacao porte grande gerente projetos pontuou utiliza principalmente modulo financeiro alinhamento sobre proximos marcos cronograma alem disso solicitou apresentacao funcionalidades avancadas bi equipe destacou importancia documentar bem processos internos time pediu acompanhamento quinzenal medir evolucao,0,1,0
282,T0283,2026-06-14 00:00:00,Construção,Grande,Google Meet,Fiscal,durante reuniao empresa setor construcao porte grande head tecnologia ressaltou utiliza principalmente modulo fiscal quer integrar crm erp ainda neste semestre alem disso demonstrou abertura piloto dashboard gerencial existe expectativa ganho produtividade automacao fluxo aprovacao decisao dependera percepcao valor proximas semanas,0,1,0
283,T0284,2026-06-22 00:00:00,Distribuição,Grande,Presencial,CRM,durante reuniao empresa setor distribuicao porte grande cliente relatou utiliza principalmente modulo crm relatou frustracao tempo resposta suporte tecnico alem disso apresentado status atual plano implantacao informou processo cotacao linx ficou definido followup proxima quinzena time citou churn risco caso sla suporte nao melhore,1,0,1
284,T0285,2026-07-04 00:00:00,Varejo,Média,Google Meet,RH,durante reuniao empresa setor varejo porte media equipe comercial observou utiliza principalmente modulo rh registrou atraso recorrente fechamento financeiro alem disso time revisou relatorios operacionais ultimo mes tambem apareceu necessidade melhorar visibilidade indicadores diretoria proxima etapa sera consolidar requisitos priorizar entregas,1,0,0
285,T0286,2026-08-05 00:00:00,Construção,Média,Google Meet,Fluig,durante reuniao empresa setor construcao porte media coordenador operacoes disse utiliza principalmente modulo fluig reclamou falhas integracao sistemas alem disso equipe validou escopo projeto proxima fase tambem apareceu necessidade melhorar visibilidade indicadores diretoria cliente espera melhoria perceptivel antes ampliar escopo diretoria pediu visao consolidada indicadores especialmente receita margem inadimplencia,1,0,0
286,T0287,2026-07-26 00:00:00,Indústria,Média,Teams,BI,durante reuniao empresa setor industria porte media head tecnologia ressaltou utiliza principalmente modulo bi declarou diretoria avalia suspender uso sistema alem disso demonstrou abertura piloto dashboard gerencial cliente mencionou avaliando proposta comercial sap time pediu acompanhamento quinzenal medir evolucao,1,0,1
287,T0288,2026-07-11 00:00:00,Construção,Grande,Teams,Manufatura,durante reuniao empresa setor construcao porte grande diretor ti ressaltou utiliza principalmente modulo manufatura time revisou relatorios operacionais ultimo mes alem disso registrou atraso recorrente fechamento financeiro mencionado concorrencia apresentou proposta agressiva ficou combinado retornar plano acao nova demonstracao,1,0,1
288,T0289,2026-04-03 00:00:00,Indústria,Grande,Google Meet,Analytics,durante reuniao empresa setor industria porte grande gerente projetos pontuou utiliza principalmente modulo analytics afirmou ja perdeu produtividade causa falhas recentes alem disso avaliando contratar modulo analytics conversa reforcou necessidade padronizacao cadastro qualidade dados ficou combinado retornar plano acao nova demonstracao,1,1,0
289,T0290,2026-06-16 00:00:00,Educação,Média,Teams,BI,durante reuniao empresa setor educacao porte media diretora financeira explicou utiliza principalmente modulo bi equipe validou escopo projeto proxima fase alem disso sinalizou possibilidade upgrade contrato comentou diretoria pediu benchmark totvs outros fornecedores mercado time pediu acompanhamento quinzenal medir evolucao,0,1,1
290,T0291,2026-07-23 00:00:00,Distribuição,Pequena,Zoom,BI,durante reuniao empresa setor distribuicao porte pequena lider operacoes declarou utiliza principalmente modulo bi quer integrar crm erp ainda neste semestre alem disso equipe validou escopo projeto proxima fase tambem apareceu necessidade melhorar visibilidade indicadores diretoria partes alinharam retorno ate duas semanas,0,1,0
291,T0292,2026-08-20 00:00:00,Agronegócio,Grande,,ERP,durante reuniao empresa setor agronegocio porte grande lider operacoes declarou utiliza principalmente modulo erp manifestou interesse expandir uso sistema outras unidades alem disso mencionou risco cancelamento problema persistir relatou concorrente ofereceu condicoes comerciais vantajosas escopo ficou combinado retornar plano acao nova demonstracao,1,1,1
292,T0293,2026-06-01 00:00:00,Varejo,Média,Zoom,Financeiro,durante reuniao empresa setor varejo porte media time atendimento apontou utiliza principalmente modulo financeiro registrou atraso recorrente fechamento financeiro alem disso sinalizou possibilidade upgrade contrato tambem apareceu necessidade melhorar visibilidade indicadores diretoria sugerida prova conceito validar aderencia,1,1,0
293,T0294,2026-05-15 00:00:00,Varejo,Pequena,Zoom,RH,durante reuniao empresa setor varejo porte pequena diretora financeira explicou utiliza principalmente modulo rh cliente pediu documentacao tecnica complementar alem disso reuniao foco mapeamento processo atual existe expectativa ganho produtividade automacao fluxo aprovacao cliente espera melhoria perceptivel antes ampliar escopo,0,0,0
294,T0295,2026-07-16 00:00:00,Serviços,Grande,Presencial,Analytics,durante reuniao empresa setor servicos porte grande diretor ti ressaltou utiliza principalmente modulo analytics mencionou nivel servico abaixo combinado contrato alem disso avaliando contratar modulo analytics conversa reforcou necessidade padronizacao cadastro qualidade dados decisao dependera percepcao valor proximas semanas usuarios disseram processo atual manual lento pouco confiavel,1,1,0
295,T0296,2026-04-17 00:00:00,Construção,Grande,Presencial,Financeiro,durante reuniao empresa setor construcao porte grande equipe comercial observou utiliza principalmente modulo financeiro demonstrou interesse ampliar numero licencas usuarios alem disso validada necessidade treinamento usuarioschave conversa reforcou necessidade padronizacao cadastro qualidade dados ficou definido followup proxima quinzena,0,1,0
296,T0297,2026-05-15 00:00:00,Saúde,Pequena,Teams,Protheus,durante reuniao empresa setor saude porte pequena cliente relatou utiliza principalmente modulo protheus disse recebeu reclamacoes internas sobre qualidade suporte alem disso grupo revisou perfis acesso regras negocio cliente quer reduzir trabalho manual centralizar dados unica plataforma time pediu acompanhamento quinzenal medir evolucao,1,0,0
297,T0298,2026-04-08 00:00:00,Logística,Média,Google Meet,Fiscal,durante reuniao empresa setor logistica porte media diretora financeira explicou utiliza principalmente modulo fiscal time revisou relatorios operacionais ultimo mes alem disso perguntou sobre possibilidade contratar modulo rh ficou registrada necessidade revisar relatorios fiscais mensais ficou definido followup proxima quinzena,0,1,0
298,T0299,2026-05-11 00:00:00,Construção,Pequena,,Analytics,durante reuniao empresa setor construcao porte pequena gerente rh informou utiliza principalmente modulo analytics reuniao foco mapeamento processo atual alem disso relatou time cogita buscar alternativas mercado mencionado concorrencia apresentou proposta agressiva ficou combinado retornar plano acao nova demonstracao reuniao hibrida audio trechos curtos frases interrompidas assim ficou claro desconforto falhas,1,0,1
299,T0300,2026-04-10 00:00:00,Tecnologia,Grande,Presencial,Financeiro,durante reuniao empresa setor tecnologia porte grande gestor comentou utiliza principalmente modulo financeiro comentou diretoria questiona valor entregue alem disso sinalizou disposicao investir novo modulo ainda ano lideranca quer evidencias quantitativas antes decidir expansao proxima etapa sera consolidar requisitos priorizar entregas,1,1,0
300,T0301,2026-05-28 00:00:00,Tecnologia,Pequena,Presencial,Analytics,durante reuniao empresa setor tecnologia porte pequena head tecnologia ressaltou utiliza principalmente modulo analytics comentou equipe pouco engajada continuar usando ferramenta alem disso feita retrospectiva entregas ultimo trimestre citou oracle netsuite fez contato oferecendo pacote similar time pediu acompanhamento quinzenal medir evolucao diretoria pediu visao consolidada indicadores especialmente receita margem inadimplencia,1,0,1
301,T0302,2026-06-17 00:00:00,Agronegócio,Pequena,Presencial,Fluig,durante reuniao empresa setor agronegocio porte pequena supervisor fiscal comentou utiliza principalmente modulo fluig solicitou apresentacao funcionalidades avancadas bi alem disso disse recebeu reclamacoes internas sobre qualidade suporte cliente quer reduzir trabalho manual centralizar dados unica plataforma cliente espera melhoria perceptivel antes ampliar escopo,1,1,0
302,T0303,2026-04-03 00:00:00,Logística,Pequena,Presencial,ERP,durante reuniao empresa setor logistica porte pequena diretora financeira explicou utiliza principalmente modulo erp discutidos responsaveis prazos proximos passos alem disso disse time sobrecarregado retrabalho area negocio pediu alertas automaticos acompanhar desvios criticos ficou definido followup proxima quinzena,1,0,0
303,T0304,2026-04-12 00:00:00,Distribuição,Grande,Presencial,Fluig,durante reuniao empresa setor distribuicao porte grande time atendimento apontou utiliza principalmente modulo fluig equipe validou escopo projeto proxima fase alem disso mostrou interesse modulo fiscal relatorios inteligentes relatou concorrente ofereceu condicoes comerciais vantajosas escopo sugerida prova conceito validar aderencia,0,1,1
304,T0305,2026-05-04 00:00:00,Distribuição,Média,Google Meet,Fluig,durante reuniao empresa setor distribuicao porte media head tecnologia ressaltou utiliza principalmente modulo fluig relatou sistema apresentou instabilidade momento critico operacao alem disso time revisou relatorios operacionais ultimo mes mencionou salesforce entrou contato oferecendo modulo crm ficou definido followup proxima quinzena,1,0,1
305,T0306,2026-04-28 00:00:00,Educação,Pequena,Teams,CRM,durante reuniao empresa setor educacao porte pequena time atendimento apontou utiliza principalmente modulo crm sinalizou disposicao investir novo modulo ainda ano alem disso mencionou contrato perto vencimento previsao renovacao time tecnico reforcou importancia manter base dados atualizada time pediu acompanhamento quinzenal medir evolucao,1,1,0
306,T0307,2026-05-01 00:00:00,Saúde,Pequena,Google Meet,RH,durante reuniao empresa setor saude porte pequena equipe comercial observou utiliza principalmente modulo rh pediu proposta comercial modulo business intelligence alem disso disse time sobrecarregado retrabalho cliente mencionou avaliando proposta comercial sap ficou combinado retornar plano acao nova demonstracao,1,1,1
307,T0308,2026-05-15 00:00:00,Indústria,Média,Presencial,Fiscal,durante reuniao empresa setor industria porte media analista financeiro pontuou utiliza principalmente modulo fiscal demonstrou interesse ampliar numero licencas usuarios alem disso mencionou nivel servico abaixo combinado contrato comentou diretoria pediu benchmark totvs outros fornecedores mercado proxima etapa sera consolidar requisitos priorizar entregas,1,1,1
308,T0309,2026-05-27 00:00:00,Educação,Pequena,Presencial,Fluig,durante reuniao empresa setor educacao porte pequena diretor ti ressaltou utiliza principalmente modulo fluig perguntou sobre possibilidade contratar modulo rh alem disso registrou atraso recorrente fechamento financeiro existe expectativa ganho produtividade automacao fluxo aprovacao proxima etapa sera consolidar requisitos priorizar entregas,1,1,0
309,T0310,2026-06-24 00:00:00,Saúde,Pequena,Presencial,Protheus,durante reuniao empresa setor saude porte pequena cliente relatou utiliza principalmente modulo protheus equipe validou escopo projeto proxima fase alem disso listadas pendencias proxima sprint comentou diretoria pediu benchmark totvs outros fornecedores mercado cliente espera melhoria perceptivel antes ampliar escopo,0,0,1
310,T0311,2026-06-10 00:00:00,Construção,Média,Teams,Protheus,durante reuniao empresa setor construcao porte media supervisor fiscal comentou utiliza principalmente modulo protheus demonstrou interesse ampliar numero licencas usuarios alem disso apresentado status atual plano implantacao ficou registrada necessidade revisar relatorios fiscais mensais partes alinharam retorno ate duas semanas,0,1,0
311,T0312,2026-07-17 00:00:00,Distribuição,Grande,,Financeiro,durante reuniao empresa setor distribuicao porte grande diretor ti ressaltou utiliza principalmente modulo financeiro sinalizou possibilidade upgrade contrato alem disso listadas pendencias proxima sprint ficou registrada necessidade revisar relatorios fiscais mensais ficou definido followup proxima quinzena,0,1,0
312,T0313,2026-04-07 00:00:00,Logística,Grande,Teams,Protheus,durante reuniao empresa setor logistica porte grande head tecnologia ressaltou utiliza principalmente modulo protheus perguntou sobre possibilidade contratar modulo rh alem disso reuniao foco mapeamento processo atual relatou concorrente ofereceu condicoes comerciais vantajosas escopo time pediu acompanhamento quinzenal medir evolucao,0,1,1
313,T0314,2026-06-01 00:00:00,Construção,Grande,Zoom,Financeiro,durante reuniao empresa setor construcao porte grande supervisor fiscal comentou utiliza principalmente modulo financeiro feita retrospectiva entregas ultimo trimestre alem disso alinhamento sobre proximos marcos cronograma mencionou salesforce entrou contato oferecendo modulo crm sugerida prova conceito validar aderencia,0,0,1
314,T0315,2026-04-08 00:00:00,Logística,Grande,,BI,durante reuniao empresa setor logistica porte grande supervisor fiscal comentou utiliza principalmente modulo bi equipe alinhou cronograma nova rodada testes alem disso alinhamento sobre proximos marcos cronograma time tecnico reforcou importancia manter base dados atualizada decisao dependera percepcao valor proximas semanas,0,0,0
315,T0316,2026-04-06 00:00:00,Tecnologia,Média,Zoom,Fluig,durante reuniao empresa setor tecnologia porte media head tecnologia ressaltou utiliza principalmente modulo fluig disse time sobrecarregado retrabalho alem disso avaliando contratar modulo analytics cliente quer reduzir trabalho manual centralizar dados unica plataforma time pediu acompanhamento quinzenal medir evolucao usuarios disseram processo atual manual lento pouco confiavel,1,1,0
316,T0317,2026-08-13 00:00:00,Logística,Pequena,Google Meet,Manufatura,durante reuniao empresa setor logistica porte pequena supervisor fiscal comentou utiliza principalmente modulo manufatura validada necessidade treinamento usuarioschave alem disso grupo revisou perfis acesso regras negocio tambem apareceu necessidade melhorar visibilidade indicadores diretoria sugerida prova conceito validar aderencia,0,0,0
317,T0318,2026-08-03 00:00:00,Logística,Pequena,,RH,durante reuniao empresa setor logistica porte pequena lider operacoes declarou utiliza principalmente modulo rh equipe alinhou cronograma nova rodada testes alem disso grupo revisou perfis acesso regras negocio area negocio pediu alertas automaticos acompanhar desvios criticos decisao dependera percepcao valor proximas semanas,0,0,0
318,T0319,2026-07-10 00:00:00,Agronegócio,Pequena,Teams,RH,durante reuniao empresa setor agronegocio porte pequena gestor comentou utiliza principalmente modulo rh comentou diretoria questiona valor entregue alem disso quer integrar crm erp ainda neste semestre comentou recebeu cotacao senior sistemas condicoes atrativas time pediu acompanhamento quinzenal medir evolucao,1,1,1
319,T0320,2026-04-23 00:00:00,Logística,Média,Zoom,ERP,durante reuniao empresa setor logistica porte media gerente rh informou utiliza principalmente modulo erp time revisou relatorios operacionais ultimo mes alem disso comentou diretoria questiona valor entregue mencionou salesforce entrou contato oferecendo modulo crm decisao dependera percepcao valor proximas semanas,1,0,1
320,T0321,2026-07-17 00:00:00,Educação,Média,Presencial,Manufatura,durante reuniao empresa setor educacao porte media gestor comentou utiliza principalmente modulo manufatura demonstrou interesse conhecer modulo manufatura alem disso validada necessidade treinamento usuarioschave equipe destacou importancia documentar bem processos internos ficou combinado retornar plano acao nova demonstracao,0,1,0
